continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
Asia,Georgia,2024-08-04,1863615.0,0.0,0.0,17150.0,0.0,0.0,491099.22,GEO,tbilisi,tbilisi,overcast clouds,279.99,279.99
Europe,Germany,2024-08-04,38437756.0,,,174979.0,,,457123.1,DEU,berlin,berlin,clear sky,286.52,285.36
Africa,Ghana,2024-08-04,172062.0,0.0,0.0,1462.0,0.0,0.0,5190.54,GHA,accra,accra,overcast clouds,306.61,306.61
Europe,Gibraltar,2024-08-04,20550.0,0.0,0.0,113.0,0.0,0.0,546092.3,GIB,gibraltar,gibraltar,broken clouds,290.12,288.71
Europe,Greece,2024-08-04,5673681.0,5818.0,831.143,39258.0,40.0,5.714,544892.3,GRC,athens,athens,few clouds,282.72,280.43
North America,Greenland,2024-08-04,11971.0,0.0,0.0,21.0,0.0,0.0,213714.42,GRL,nuuk,nuuk,light snow,265.49,264.75
North America,Grenada,2024-08-04,19693.0,0.0,0.0,238.0,0.0,0.0,168419.88,GRD,st. george's,st. george's,few clouds,301.66,301.66
North America,Guatemala,2024-08-04,1250371.0,1.0,0.143,20203.0,0.0,0.0,70057.125,GTM,guatemala city,guatemala city,few clouds,295.06,294.89
Europe,Guernsey,2024-08-04,35326.0,0.0,0.0,67.0,0.0,0.0,554150.6,GGY,st peter port,st peter port,few clouds,286.76,286.76
Africa,Guinea,2024-08-04,38572.0,0.0,0.0,468.0,0.0,0.0,2744.335,GIN,conakry,conakry,few clouds,304.19,304.19
Africa,Guinea-Bissau,2024-08-04,9614.0,0.0,0.0,177.0,0.0,0.0,4566.056,GNB,bissau,bissau,scattered clouds,305.38,305.38
North America,Haiti,2024-08-04,34456.0,0.0,0.0,860.0,0.0,0.0,2995.235,HTI,port-au-prince,port-au-prince,few clouds,300.94,300.94
North America,Honduras,2024-08-04,472896.0,1.0,0.143,11114.0,0.0,0.0,45193.176,HND,tegucigalpa,tegucigalpa,scattered clouds,298.57,298.4
Asia,Hong Kong,2024-08-10,,,,,,,,HKG,hong kong,hong kong,clear sky,291.66,289.24
Asia,Hong Kong,2024-08-10,,,,,,,,HKG,hong kong,hong kong,clear sky,291.66,289.24
Europe,Hungary,2024-08-04,2230800.0,143.0,20.429,49053.0,0.0,0.0,230352.08,HUN,budapest,budapest,clear sky,282.6,280.41
Europe,Iceland,2024-08-04,210374.0,27.0,3.857,186.0,0.0,0.0,553080.2,ISL,reykjavik,reykjavik,overcast clouds,281.42,281.42
Asia,India,2024-08-12,45041748.0,313.0,44.714,533623.0,0.0,0.0,31598.86,IND,new delhi,new delhi,haze,299.24,299.24
Asia,Indonesia,2024-08-04,6829399.0,46.0,6.571,162059.0,0.0,0.0,24493.01,IDN,jakarta,jakarta,few clouds,301.2,298.09
Asia,Iran,2024-08-04,7627863.0,0.0,0.0,146837.0,0.0,0.0,85204.44,IRN,tehran,tehran,scattered clouds,295.14,294.66
Asia,Iraq,2024-08-04,2465545.0,0.0,0.0,25375.0,0.0,0.0,55945.402,IRQ,baghdad,baghdad,clear sky,299.1,299.1
Europe,Ireland,2024-08-04,1745088.0,761.0,108.714,9744.0,9.0,1.286,341503.62,IRL,dublin,dublin,clear sky,282.51,279.25
Asia,Israel,2024-08-04,4841558.0,0.0,0.0,12707.0,0.0,0.0,531855.56,ISR,jerusalem,jerusalem,clear sky,286.32,286.3
