continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital
Europe,Finland,2024-08-04,1499712.0,0.0,0.0,11466.0,0.0,0.0,269281.97,FIN,Helsinki
Europe,France,2024-08-04,38997490.0,,,168091.0,,,606706.0,FRA,Paris
South America,French Guiana,2024-08-04,98041.0,0.0,0.0,413.0,0.0,0.0,328644.84,GUF,Cayenne
Oceania,French Polynesia,2024-08-04,79387.0,47.0,6.714,650.0,0.0,0.0,283131.66,PYF,Papeete
Africa,Gabon,2024-08-04,49051.0,0.0,0.0,307.0,0.0,0.0,20179.352,GAB,Libreville
Africa,Gambia,2024-08-04,12627.0,0.0,0.0,372.0,0.0,0.0,4789.353,GMB,Banjul
Asia,Georgia,2024-08-04,1863615.0,0.0,0.0,17150.0,0.0,0.0,491099.22,GEO,Tbilisi
Europe,Germany,2024-08-04,38437756.0,,,174979.0,,,457123.1,DEU,Berlin
Africa,Ghana,2024-08-04,172062.0,0.0,0.0,1462.0,0.0,0.0,5190.54,GHA,Accra
Europe,Gibraltar,2024-08-04,20550.0,0.0,0.0,113.0,0.0,0.0,546092.3,GIB,Gibraltar
Europe,Greece,2024-08-04,5673681.0,5818.0,831.143,39258.0,40.0,5.714,544892.3,GRC,Athens
North America,Greenland,2024-08-04,11971.0,0.0,0.0,21.0,0.0,0.0,213714.42,GRL,Nuuk
North America,Grenada,2024-08-04,19693.0,0.0,0.0,238.0,0.0,0.0,168419.88,GRD,St. George's
North America,Guadeloupe,2024-08-04,203235.0,0.0,0.0,1021.0,0.0,0.0,528290.6,GLP,Basse-Terre
Oceania,Guam,2024-08-04,52287.0,0.0,0.0,419.0,0.0,0.0,316520.7,GUM,Hagatna
North America,Guatemala,2024-08-04,1250371.0,1.0,0.143,20203.0,0.0,0.0,70057.125,GTM,Guatemala City
Europe,Guernsey,2024-08-04,35326.0,0.0,0.0,67.0,0.0,0.0,554150.6,GGY,St Peter Port
Africa,Guinea,2024-08-04,38572.0,0.0,0.0,468.0,0.0,0.0,2744.335,GIN,Conakry
Africa,Guinea-Bissau,2024-08-04,9614.0,0.0,0.0,177.0,0.0,0.0,4566.056,GNB,Bissau
South America,Guyana,2024-08-04,74443.0,4.0,0.571,1302.0,0.0,0.0,90603.38,GUY,Georgetown
North America,Haiti,2024-08-04,34456.0,0.0,0.0,860.0,0.0,0.0,2995.235,HTI,Port-au-Prince
North America,Honduras,2024-08-04,472896.0,1.0,0.143,11114.0,0.0,0.0,45193.176,HND,Tegucigalpa
Asia,Hong Kong,2024-08-10,,,,,,,,HKG,Hong Kong
Europe,Hungary,2024-08-04,2230800.0,143.0,20.429,49053.0,0.0,0.0,230352.08,HUN,Budapest
Europe,Iceland,2024-08-04,210374.0,27.0,3.857,186.0,0.0,0.0,553080.2,ISL,Reykjavik
Asia,India,2024-08-12,45041748.0,313.0,44.714,533623.0,0.0,0.0,31598.86,IND,New Delhi
Asia,Indonesia,2024-08-04,6829399.0,46.0,6.571,162059.0,0.0,0.0,24493.01,IDN,Jakarta
Asia,Iran,2024-08-04,7627863.0,0.0,0.0,146837.0,0.0,0.0,85204.44,IRN,Tehran
Asia,Iraq,2024-08-04,2465545.0,0.0,0.0,25375.0,0.0,0.0,55945.402,IRQ,Baghdad
Europe,Ireland,2024-08-04,1745088.0,761.0,108.714,9744.0,9.0,1.286,341503.62,IRL,Dublin
Europe,Isle of Man,2024-08-04,38008.0,0.0,0.0,116.0,0.0,0.0,451701.84,IMN,"Douglas, Isle of Man"
Asia,Israel,2024-08-04,4841558.0,0.0,0.0,12707.0,0.0,0.0,531855.56,ISR,Jerusalem
Europe,Italy,2024-08-07,26781078.0,6350.0,907.143,197307.0,6.0,0.857,449202.94,ITA,Rome
North America,Jamaica,2024-08-04,157181.0,12.0,1.714,3611.0,0.0,0.0,55361.973,JAM,Kingston
Asia,Japan,2024-08-04,33803572.0,0.0,0.0,74694.0,0.0,0.0,270433.8,JPN,Tokyo
Europe,Jersey,2024-08-04,66391.0,0.0,0.0,161.0,0.0,0.0,641502.3,JEY,Saint Helier
Asia,Jordan,2024-08-04,1746997.0,0.0,0.0,14122.0,0.0,0.0,155202.16,JOR,Amman
Asia,Kazakhstan,2024-08-04,1504370.0,0.0,0.0,19072.0,0.0,0.0,75088.555,KAZ,Astana
Africa,Kenya,2024-08-04,344106.0,0.0,0.0,5689.0,0.0,0.0,6342.68,KEN,Nairobi
Oceania,Kiribati,2024-08-04,5085.0,0.0,0.0,24.0,0.0,0.0,38971.19,KIR,Tarawa
Asia,Kuwait,2024-08-04,667290.0,0.0,0.0,2570.0,0.0,0.0,145394.48,KWT,Kuwait City
Asia,Kyrgyzstan,2024-08-04,88953.0,0.0,0.0,1024.0,0.0,0.0,12788.335,KGZ,Bishkek
Asia,Laos,2024-08-04,219060.0,0.0,0.0,671.0,0.0,0.0,28979.996,LAO,Vientiane
Europe,Latvia,2024-08-04,977765.0,0.0,0.0,7475.0,0.0,0.0,519795.25,LVA,Riga
Asia,Lebanon,2024-08-04,1239904.0,0.0,0.0,10947.0,0.0,0.0,215842.16,LBN,Beirut
Africa,Lesotho,2024-08-04,36138.0,0.0,0.0,709.0,0.0,0.0,15807.624,LSO,Maseru
Africa,Liberia,2024-08-04,7930.0,0.0,0.0,294.0,0.0,0.0,1475.817,LBR,Monrovia
Africa,Libya,2024-08-04,507269.0,0.0,0.0,6437.0,0.0,0.0,70221.87,LBY,Tripolis
Europe,Liechtenstein,2024-08-04,21588.0,0.0,0.0,89.0,0.0,0.0,548810.25,LIE,Vaduz
Europe,Lithuania,2024-08-14,1369355.0,807.0,115.286,9810.0,0.0,0.0,486117.47,LTU,Vilnius
Europe,Luxembourg,2024-08-04,393542.0,190.0,27.143,1000.0,0.0,0.0,602376.2,LUX,Luxembourg
Africa,Madagascar,2024-08-04,68567.0,0.0,0.0,1428.0,0.0,0.0,2252.732,MDG,Antananarivo
